key	ID	item1	item2	item3
69.407646	3642	32.768799	11.406494	60.112549
81.092537	2242	61.943604	43.877197	28.526855
88.142212	2250	87.669922	7.134033	5.669189
97.257263	3856	44.487549	85.289551	14.336182
105.218430	28	48.210693	82.115723	44.762207
109.723419	1138	74.669434	15.068604	78.972412
117.787117	3112	59.288574	73.998047	69.878174
124.020821	3361	75.859619	67.772461	70.946289
126.245499	4533	62.889648	80.498291	74.181152
126.390549	4118	38.384033	53.276611	107.994629
131.864578	2154	66.429688	94.444824	63.683105
138.301666	718	115.257813	35.118652	67.894531
156.489655	1395	60.051514	132.072998	58.647705
158.088196	2574	107.353760	93.803955	68.321777
160.751343	4401	109.276367	55.077148	104.240967
162.620209	1941	14.793945	53.581787	152.824951
170.017685	3664	84.709717	97.435547	110.619141
170.613220	4137	38.384033	165.886475	10.826660
181.347672	4101	33.775879	52.147461	170.372559
185.927200	1957	21.965576	107.018066	150.444580
186.461426	3992	176.323486	55.962158	23.369385
193.939896	3054	49.370361	136.925293	128.166748
197.701202	1779	169.182373	82.695557	60.204102
197.864868	3979	115.318848	134.880615	87.517334
210.541855	1986	97.740723	26.665283	184.563232
214.970749	4079	173.882080	104.881836	70.549561
222.197525	1158	73.662354	181.999756	104.027344
226.809067	508	90.874268	156.426025	136.803223
227.830750	1400	27.611328	225.609375	15.648438
227.955826	3432	53.734375	215.904785	49.614502
228.630722	344	194.267822	29.045654	116.997314
232.857712	3739	37.193848	10.948730	229.607178
233.629333	2090	178.154541	11.284424	150.719238
233.890823	1430	123.222900	69.206787	186.363770
241.015152	3087	99.083496	193.138672	104.729248
241.679703	224	87.181641	193.016602	116.417480
244.215561	1829	53.978516	34.386230	235.680176
245.456680	208	26.695801	92.339111	225.853516
246.378754	3079	233.360840	33.012939	71.800781
248.654953	1132	62.737061	39.970947	237.267090
248.880264	2983	210.960938	127.647949	33.806396
251.528534	1273	52.971436	232.994629	78.575684
254.485901	3313	68.047119	4.875732	245.171143
256.864807	1509	40.764404	112.938477	227.074219
262.487152	1529	85.716797	191.521240	157.707764
264.952759	2576	19.493652	61.485840	256.981445
265.907837	1123	241.966797	72.594238	83.000732
267.523376	3020	229.332520	33.928467	133.507324
270.098938	3459	246.422363	22.667480	108.238770
270.956360	1398	160.729004	15.526367	217.583252
271.350433	1616	174.858643	119.011475	169.975830
271.553345	1921	170.342041	125.664307	170.097900
272.320282	4615	69.206787	227.409912	132.866455
275.587006	4883	95.421387	199.394775	164.574219
275.872131	1420	227.989746	151.360107	34.874512
275.958252	3441	191.612793	4.387451	198.540283
277.383575	236	12.352539	79.582764	265.434814
277.651642	1038	196.098877	161.766602	111.656738
279.705872	160	190.971924	181.816650	93.315674
280.095459	2978	50.316406	238.335205	138.268066
285.385803	1403	164.513184	113.304688	203.819824
287.051361	2705	207.390381	91.209961	176.262451
288.354370	4513	133.659912	237.663818	93.803955
288.486389	1808	195.427490	174.461914	120.812012
289.864899	247	138.786865	50.224854	249.474121
292.001007	3835	197.655273	9.728027	214.714600
292.914703	1090	102.165771	251.030518	111.107422
295.017212	550	40.276123	194.878174	217.796875
295.952911	757	294.762207	17.815186	19.646240
296.708832	4839	91.606689	227.104736	167.534424
297.241028	3458	123.741699	215.141846	163.567139
297.633545	2485	217.674805	177.635742	98.229004
298.533508	4141	245.842529	96.672607	139.061523
300.124268	512	14.854980	144.280029	262.749268
301.232483	1940	141.563965	16.655518	265.373779
303.032532	3263	24.742676	300.957275	25.322510
303.617889	545	278.526855	26.787354	117.851807
